uid	new_split	dataset	original_split	doc_id	sent_id	sentence	marked_sentence	source	target	trigger	arguments	event_type	gold_binary
486	train	ace	dev	3475	767	luster returned to los angeles yesterday from mexico following his capture tuesday by american bounlty hunters.	<t>luster</t> returned to los angeles yesterday from mexico following his capture tuesday by <s>american bounlty hunters</s>.	Agent:american bounlty hunters	Person:luster	capture	{'Person': ['luster'], 'Agent': ['american bounlty hunters']}	Justice:Arrest-Jail	1
487	train	ace	train	2081	762	American commandos captured a half brother of Saddam Hussein on Thursday, the latest success in a campaign to round up insiders from the former regime.	<s>American commandos</s> captured <t>a half brother of Saddam Hussein</t> on Thursday, the latest success in a campaign to round up insiders from the former regime.	Agent:American commandos	Person:a half brother of Saddam Hussein	captured	{'Person': ['a half brother of Saddam Hussein'], 'Agent': ['American commandos']}	Justice:Arrest-Jail	1
489	train	ace	train	694	761	a pizza delivery helped police nab the suspect in the kidnapping of a 9-year-old california girl.	a pizza delivery helped <s>police</s> nab <t>the suspect in the kidnapping of a 9-year-old california girl</t>.	Agent:police	Person:the suspect in the kidnapping of a 9-year-old california girl	nab	{'Person': ['the suspect in the kidnapping of a 9-year-old california girl'], 'Agent': ['police'], 'Crime': ['the kidnapping of a 9-year-old california girl']}	Justice:Arrest-Jail	1
491	train	ace	train	914	777	prosecutors charge lindsey ryan with stealing firearms from her parents' home.	<s>prosecutors</s> charge <t>lindsey ryan</t> with stealing firearms from her parents' home.	Prosecutor:prosecutors	Defendant:lindsey ryan	charge	{'Defendant': ['lindsey ryan'], 'Prosecutor': ['prosecutors'], 'Crime': ["stealing firearms from her parents' home"]}	Justice:Charge-Indict	1
492	train	ace	train	1276	778	reporter: after stewart was charged by federal authorities wednesday, her lawyers issued a statement in which they said, quote, martha stewart has done nothing wrong.	reporter: after <t>stewart</t> was charged by <s>federal authorities</s> wednesday, her lawyers issued a statement in which they said, quote, martha <t>stewart</t> has done nothing wrong.	Prosecutor:federal authorities	Defendant:stewart	charged	{'Defendant': ['stewart'], 'Prosecutor': ['federal authorities']}	Justice:Charge-Indict	1
493	train	ace	train	1020	775	federal prosecutors notified the former employees that they could face charges as early as this week.	<s>federal prosecutors</s> notified <t>the former employees</t> that they could face charges as early as this week.	Prosecutor:federal prosecutors	Defendant:the former employees	charges	{'Prosecutor': ['federal prosecutors']}	Justice:Charge-Indict	1
494	train	ace	train	2024	780	The lawyer of former Zambian president Frederick Chiluba was reprimanded by a Lusaka magistrate when his client failed to appear in court on theft charges Friday.	The lawyer of former Zambian president Frederick Chiluba was reprimanded by <s>a Lusaka magistrate</s> when <t>his client</t> failed to appear in court on theft charges Friday.	Prosecutor:a Lusaka magistrate	Defendant:his client	charges	{'Defendant': ['his client'], 'Prosecutor': ['a Lusaka magistrate'], 'Place': ['court'], 'Crime': ['theft']}	Justice:Charge-Indict	1
495	train	ace	dev	3366	774	But if we are going to talk about realism, here is another realistic concern: I predict that, if, in fact, the rumors about the agenda for the Florida meeting prove true, and Marinello resigns as President and is hired as move coordinator, the immediate result of this is that Sam Sloan will file another lawsuit (or amend his current complaint) charging the USCF EB members with self-dealing, violation of the USCF's own bylaws, and every other thing, report us to the IRS, and demand that all USCF moneys which might be used to paid Marinello be frozen.	But if we are going to talk about realism, here is another realistic concern: I predict that, if, in fact, the rumors about the agenda for the Florida meeting prove true, and Marinello resigns as President and is hired as move coordinator, the immediate result of this is that <s>Sam Sloan</s> will file another lawsuit (or amend his current complaint) charging <t>the USCF EB members</t> with self-dealing, violation of the USCF's own bylaws, and every other thing, report us to the IRS, and demand that all USCF moneys which might be used to paid Marinello be frozen.	Prosecutor:Sam Sloan	Defendant:the USCF EB members	charging	{'Defendant': ['the USCF EB members'], 'Prosecutor': ['Sam Sloan'], 'Crime': ["self-dealing, violation of the USCF's own bylaws, and every other thing"]}	Justice:Charge-Indict	1
497	train	ace	train	630	782	abbas was convicted in absentia by an italian court and sentenced to five life terms in prison.	<t>abbas</t> was convicted in absentia by <s>an italian court</s> and sentenced to five life terms in prison.	Adjudicator:an italian court	Defendant:abbas	convicted	{'Defendant': ['abbas'], 'Adjudicator': ['an italian court']}	Justice:Convict	1
499	train	ace	train	2208	790	The court convicted the paper of violating article 25 of the Press Law, which prohibits the publication of material that defames religion or incites religiously unacceptable activity.	<s>The court</s> convicted <t>the paper</t> of violating article 25 of the Press Law, which prohibits the publication of material that defames religion or incites religiously unacceptable activity.	Adjudicator:The court	Defendant:the paper	convicted	{'Adjudicator': ['The court'], 'Crime': ['violating article 25 of the Press Law'], 'Defendant': ['the paper']}	Justice:Convict	1
500	train	ace	train	2322	788	Seven people convicted last week in Vietnam's biggest-ever criminal trial, including two former senior government officials, have requested an appeal of the verdicts, a court official said Tuesday.	Seven people convicted last week in Vietnam's biggest-ever criminal trial, including <t>two former senior government officials</t>, have requested an appeal of the verdicts, a <s>court</s> official said Tuesday.	Adjudicator:court	Defendant:two former senior government officials	convicted	{'Defendant': ["Seven people convicted last week in Vietnam's biggest-ever criminal trial, including two former senior government officials", 'two former senior government officials'], 'Place': ['Vietnam'], 'Adjudicator': ['court']}	Justice:Convict	1
501	train	ace	train	2322	788	Seven people convicted last week in Vietnam's biggest-ever criminal trial, including two former senior government officials, have requested an appeal of the verdicts, a court official said Tuesday.	<t>Seven people</t> convicted last week in Vietnam's biggest-ever criminal trial, including two former senior government officials, have requested an appeal of the verdicts, a <s>court</s> official said Tuesday.	Adjudicator:court	Defendant:Seven people	convicted	{'Defendant': ["Seven people convicted last week in Vietnam's biggest-ever criminal trial, including two former senior government officials", 'two former senior government officials'], 'Place': ['Vietnam'], 'Adjudicator': ['court']}	Justice:Convict	1
505	train	ace	train	2098	787	Malaysia's second highest court on Friday rejected an appeal by jailed former Deputy Prime Minister Anwar Ibrahim against his conviction and nine-year prison sentence for sodomy.	<s>Malaysia's second highest court</s> on Friday rejected an appeal by <t>jailed former Deputy Prime Minister Anwar Ibrahim</t> against his conviction and nine-year prison sentence for sodomy.	Adjudicator:Malaysia's second highest court	Defendant:jailed former Deputy Prime Minister Anwar Ibrahim	conviction	{'Adjudicator': ["Malaysia's second highest court"], 'Crime': ['sodomy'], 'Defendant': ['jailed former Deputy Prime Minister Anwar Ibrahim'], 'Place': ['Malaysia']}	Justice:Convict	1
506	train	ace	test	3644	786	Judge Shahid Rafiq, of the district court in the industrial city of Faisalabad, found Ranjha Masih guilty of defiling Koranic verses during a protest rally by the minority Christian community in 1998.	<s>Judge Shahid Rafiq, of the district court in the industrial city of Faisalabad</s>, found <t>Ranjha Masih</t> guilty of defiling Koranic verses during a protest rally by the minority Christian community in 1998.	Adjudicator:Judge Shahid Rafiq, of the district court in the industrial city of Faisalabad	Defendant:Ranjha Masih	guilty	{'Defendant': ['Ranjha Masih'], 'Crime': ['defiling Koranic verses during a protest rally by the minority Christian community in 1998'], 'Place': ['the industrial city of Faisalabad'], 'Adjudicator': ['Judge Shahid Rafiq, of the district court in the industrial city of Faisalabad']}	Justice:Convict	1
507	train	ace	train	2075	784	He asked the court to invalidate the verdict and throw out the criminal case against Pasko, they said.	He asked <s>the court</s> to invalidate the verdict and throw out the criminal case against <t>Pasko</t>, they said.	Adjudicator:the court	Defendant:Pasko	verdict	{'Defendant': ['Pasko'], 'Adjudicator': ['the court']}	Justice:Convict	1
508	train	ace	train	1143	794	state proceedings could bring the death penalty if nichols is convicted.	<s>state</s> proceedings could bring the death penalty if <t>nichols</t> is convicted.	Agent:state	Person:nichols	death penalty	{'Person': ['nichols'], 'Agent': ['state']}	Justice:Execute	1
509	train	ace	train	611	792	lawyers in texas are trying to keep their client from becoming the 300th person executed in the state since 1982, when texas resumed capital punishment.	lawyers in texas are trying to keep their client from becoming <t>the 300th person executed in the state since 1982</t>, when <s>texas</s> resumed capital punishment.	Agent:texas	Person:the 300th person executed in the state since 1982	executed	{'Person': ['the 300th person executed in the state since 1982, when texas resumed capital punishment'], 'Place': ['the state'], 'Agent': ['texas']}	Justice:Execute	1
511	train	ace	dev	3564	791	Indonesia will delay the execution of six convicts including an Indian on death row after five of them appealed to the Supreme Court for a second review, prosecutors said Thursday.	<s>Indonesia</s> will delay the execution of <t>six convicts including an Indian on death row</t> after five of them appealed to the Supreme Court for a second review, prosecutors said Thursday.	Agent:Indonesia	Person:six convicts including an Indian on death row	execution	{'Agent': ['Indonesia'], 'Person': ['six convicts including an Indian on death row']}	Justice:Execute	0
512	train	ace	train	436	795	Up next, evidence at a makeshift morgue points to mass executions by the Iraqi regime.	Up next, evidence at <t>a makeshift morgue</t> points to mass executions by <s>the Iraqi regime</s>.	Agent:the Iraqi regime	Place:a makeshift morgue	executions	{'Agent': ['the Iraqi regime'], 'Place': ['a makeshift morgue']}	Justice:Execute	1
513	train	ace	test	3789	797	The post-Milosevic government later extradited him to the U.N. war crimes tribunal in the Hague, the Netherlands.	<s>The post-Milosevic government</s> later extradited him to the U.N. war crimes tribunal in <t>the Hague, the Netherlands</t>.	Agent:The post-Milosevic government	Destination:the Hague, the Netherlands	extradited	{'Destination': ['The Hague, the Netherlands'], 'Agent': ['The post-Milosevic government']}	Justice:Extradite	0
514	train	ace	train	2585	798	The waiver of extradition that she signed simply means that if she skips out and goes to another state, she can't contest the right of the original court to have her hauled back to its jurisdiction, and that the court won't have to initiate the time-consuming process of extraditing her.	The waiver of extradition that she signed simply means that if she skips out and goes to another state, she can't contest the right of the original court to have her hauled back to <t>its jurisdiction</t>, and that <s>the court</s> won't have to initiate the time-consuming process of extraditing her.	Agent:the court	Destination:its jurisdiction	extraditing	{'Origin': ['another state'], 'Destination': ['its jurisdiction'], 'Agent': ['the court']}	Justice:Extradite	0
516	train	ace	test	3645	799	In a verdict handed down on Saturday, the judge also ordered Ranjha to pay a fine of 50,000 rupees (about 870 US dollars), they said.	In a verdict handed down on Saturday, <s>the judge</s> also ordered <t>Ranjha</t> to pay a fine of 50,000 rupees (about 870 US dollars), they said.	Adjudicator:the judge	Entity:Ranjha	fine	{'Entity': ['Ranjha'], 'Adjudicator': ['the judge'], 'Money': ['50,000 rupees', 'about 870 US dollars']}	Justice:Fine	1
520	train	ace	train	1264	801	the jury has handed down a $30 million, a grand rapids jury saying taco bell has to pay the true creators of the chihuahua mass cot.	the jury has handed down a $30 million, <s>a grand rapids jury</s> saying <t>taco bell</t> has to pay the true creators of the chihuahua mass cot.	Adjudicator:a grand rapids jury	Entity:taco bell	pay	{'Entity': ['taco bell'], 'Adjudicator': ['a grand rapids jury'], 'Money': ['$30 million']}	Justice:Fine	1
523	train	ace	train	1202	807	those favoring the rule say it gives convicts incentive to behave in prison and enables judges to release prisoners if new evidence comes to light.	those favoring the rule say it gives convicts incentive to behave in prison and enables <s>judges</s> to release <t>prisoners</t> if new evidence comes to light.	Entity:judges	Person:prisoners	release	{'Person': ['prisoners'], 'Entity': ['judges']}	Justice:Release-Parole	0
524	train	ace	train	1207	805	he called the case and i'm quoting now, a judge's worst nightmare, but he noted that maryland parole boards and the facility where michael serious was held, the institution made what the judge called the final decision on whether to release serious.	he called the case and i'm quoting now, a judge's worst nightmare, but he noted that maryland parole boards and <s>the facility where <t>michael serious</t> was held</s>, the institution made what the judge called the final decision on whether to release serious.	Entity:the facility where michael serious was held	Person:michael serious	release	{'Person': ['serious'], 'Entity': ['maryland parole boards', 'the facility where michael serious was held']}	Justice:Release-Parole	1
525	train	ace	train	1207	805	he called the case and i'm quoting now, a judge's worst nightmare, but he noted that maryland parole boards and the facility where michael serious was held, the institution made what the judge called the final decision on whether to release serious.	he called the case and i'm quoting now, a judge's worst nightmare, but he noted that <s>maryland parole boards</s> and the facility where <t>michael serious</t> was held, the institution made what the judge called the final decision on whether to release serious.	Entity:maryland parole boards	Person:michael serious	release	{'Person': ['serious'], 'Entity': ['maryland parole boards', 'the facility where michael serious was held']}	Justice:Release-Parole	1
526	train	ace	train	3004	804	Apparently James Baker, former Secretary of State and current envoy for the Bush Administration, has asked the Isreali government to release a scumbag terrorist to promote "peace".	Apparently James Baker, former Secretary of State and current envoy for the Bush Administration, has asked <s>the Isreali government</s> to release <t>a scumbag terrorist</t> to promote "peace".	Entity:the Isreali government	Person:a scumbag terrorist	release	{'Person': ['a scumbag terrorist'], 'Entity': ['the Isreali government']}	Justice:Release-Parole	1
527	train	ace	train	2108	813	Sukma has been free on bail pending appeal, but the judges on Friday ordered him to begin his sentence.	<t>Sukma</t> has been free on bail pending appeal, but <s>the judges</s> on Friday ordered him to begin his sentence.	Adjudicator:the judges	Defendant:Sukma	sentence	{'Adjudicator': ['the judges']}	Justice:Sentence	1
528	train	ace	dev	3571	808	A convict can file a case review or appeal for presidential clemency only after the Supreme Court upholds a sentence imposed by a lower court.	<t>A convict</t> can file a case review or appeal for presidential clemency only after the Supreme Court upholds a sentence imposed by <s>a lower court</s>.	Adjudicator:a lower court	Defendant:A convict	sentence	{'Adjudicator': ['a lower court'], 'Defendant': ['A convict'], 'Sentence': ['a sentence imposed by a lower court']}	Justice:Sentence	1
530	train	ace	test	3643	809	A Pakistani court in central Punjab province has sentenced a Christian man to life imprisonment for a blasphemy conviction, police said Sunday.	<s>A Pakistani court in central Punjab province</s> has sentenced <t>a Christian man</t> to life imprisonment for a blasphemy conviction, police said Sunday.	Adjudicator:A Pakistani court in central Punjab province	Defendant:a Christian man	sentenced	{'Adjudicator': ['A Pakistani court in central Punjab province'], 'Defendant': ['a Christian man'], 'Place': ['central Punjab province'], 'Sentence': ['life imprisonment'], 'Crime': ['blasphemy']}	Justice:Sentence	1
531	train	ace	dev	3573	811	Indonesian courts have increasingly handed out severe sentences, including death, for drug smugglers.	<s>Indonesian courts</s> have increasingly handed out severe sentences, including death, for <t>drug smugglers</t>.	Adjudicator:Indonesian courts	Defendant:drug smugglers	sentences	{'Adjudicator': ['Indonesian courts'], 'Defendant': ['drug smugglers'], 'Place': ['Indonesian'], 'Sentence': ['severe sentences, including death']}	Justice:Sentence	1
534	train	ace	train	2019	824	Larry Klayman, chairman of Judicial Watch, which represent 14 survivors and victims' relatives who have filed a $1.5 billion federal lawsuit against Iraq in Washington, said his organization had served a subpoena on Al-Douri twice, on March 26 and March 28, but said he has not responded.	Larry Klayman, chairman of Judicial Watch, which represent <s>14 survivors and victims' relatives</s> who have filed a $1.5 billion federal lawsuit against <t>Iraq</t> in Washington, said his organization had served a subpoena on Al-Douri twice, on March 26 and March 28, but said he has not responded.	Plaintiff:14 survivors and victims' relatives	Defendant:Iraq	lawsuit	{'Defendant': ['Iraq'], 'Place': ['Washington'], 'Plaintiff': ["14 survivors and victims' relatives", "14 survivors and victims' relatives"]}	Justice:Sue	1
540	train	ace	train	1461	828	that is certainly true and know aaron tonkin and according to to "vanity fair," he's at the heart of half a dozen investigations with fraud and angry investor lawsuits a-plenty.	that is certainly true and know <t>aaron tonkin</t> and according to to "vanity fair," he's at the heart of half a dozen investigations with fraud and <s>angry investor</s> lawsuits a-plenty.	Plaintiff:angry investor	Defendant:aaron tonkin	lawsuits	{'Plaintiff': ['angry investor']}	Justice:Sue	1
541	train	ace	train	1196	823	jpmorgan, citigroup, and other advisers have already been sued by shareholders and they also face regulatory investigations.	jpmorgan, citigroup, and <t>other advisers</t> have already been sued by <s>shareholders</s> and they also face regulatory investigations.	Plaintiff:shareholders	Defendant:other advisers	sued	{'Defendant': ['jpmorgan', 'citigroup', 'other advisers'], 'Plaintiff': ['shareholders']}	Justice:Sue	1
542	train	ace	train	1196	823	jpmorgan, citigroup, and other advisers have already been sued by shareholders and they also face regulatory investigations.	<t>jpmorgan</t>, citigroup, and other advisers have already been sued by <s>shareholders</s> and they also face regulatory investigations.	Plaintiff:shareholders	Defendant:jpmorgan	sued	{'Defendant': ['jpmorgan', 'citigroup', 'other advisers'], 'Plaintiff': ['shareholders']}	Justice:Sue	1
543	train	ace	train	1196	823	jpmorgan, citigroup, and other advisers have already been sued by shareholders and they also face regulatory investigations.	jpmorgan, <t>citigroup</t>, and other advisers have already been sued by <s>shareholders</s> and they also face regulatory investigations.	Plaintiff:shareholders	Defendant:citigroup	sued	{'Defendant': ['jpmorgan', 'citigroup', 'other advisers'], 'Plaintiff': ['shareholders']}	Justice:Sue	1
544	train	ace	train	2542	827	So the lawyers sued Gateway, and the settlement approved by the judge consisted of megabucks for the lawyers and coupons to owners of Gateway 486 computers.	So <s>the lawyers</s> sued <t>Gateway</t>, and the settlement approved by the judge consisted of megabucks for <s>the lawyers</s> and coupons to owners of <t>Gateway</t> 486 computers.	Plaintiff:the lawyers	Defendant:Gateway	sued	{'Adjudicator': ['the judge'], 'Defendant': ['Gateway'], 'Plaintiff': ['the lawyers']}	Justice:Sue	1
545	train	ace	train	2776	819	Bechtel sued Bolivia for loss of potential profits like it is suing India now - that is, the profits it could have made by continuing to gouge the poor without investment in capital infrastructure.	<s>Bechtel</s> sued <t>Bolivia</t> for loss of potential profits like it is suing India now - that is, the profits it could have made by continuing to gouge the poor without investment in capital infrastructure.	Plaintiff:Bechtel	Defendant:Bolivia	sued	{'Defendant': ['Bolivia'], 'Crime': ['loss of potential profits'], 'Plaintiff': ['Bechtel']}	Justice:Sue	1
547	train	ace	test	3737	822	Enron's principal bankers, including JP Morgan Chase and Citigroup, and along with numerous other Enron advisers, have already been sued by the company's shareholders for allegedly helping the company hide debt, and they face investigations from regulators over their involvement.	<t>Enron's principal bankers</t>, including JP Morgan Chase and Citigroup, and along with numerous other Enron advisers, have already been sued by <s>the company's shareholders</s> for allegedly helping the company hide debt, and they face investigations from regulators over their involvement.	Plaintiff:the company's shareholders	Defendant:Enron's principal bankers	sued	{'Defendant': ["Enron's principal bankers"], 'Plaintiff': ["the company's shareholders"]}	Justice:Sue	1
548	train	ace	train	1195	815	a source tell us enron is considering suing its own investment bankers for giving it bad financial advice.	a source tell us <s>enron</s> is considering suing <t>its own investment bankers</t> for giving it bad financial advice.	Plaintiff:enron	Defendant:its own investment bankers	suing	{'Defendant': ['its own investment bankers'], 'Crime': ['giving it bad financial advice'], 'Plaintiff': ['enron']}	Justice:Sue	1
552	train	ace	train	2537	820	Dell is involved in a class action suit for "bait and switch", where a nurse claims Dell switched parts and charged her for the more expensive items, and for promising "easy credit" for which no one qualifies and then charges ridiculously high interest rates.	<t>Dell</t> is involved in a class action suit for "bait and switch", where <s>a nurse</s> claims <t>Dell</t> switched parts and charged her for the more expensive items, and for promising "easy credit" for which no one qualifies and then charges ridiculously high interest rates.	Plaintiff:a nurse	Defendant:Dell	suit	{'Defendant': ['Dell'], 'Crime': ['bait and switch'], 'Plaintiff': ['a nurse']}	Justice:Sue	1
553	train	ace	train	2541	830	Then there was the class action suit against Gateway brought by some Philadelphia lawyers a number of years ago.	Then there was the class action suit against <t>Gateway</t> brought by <s>some Philadelphia lawyers</s> a number of years ago.	Plaintiff:some Philadelphia lawyers	Defendant:Gateway	suit	{'Defendant': ['Gateway'], 'Plaintiff': ['some Philadelphia lawyers']}	Justice:Sue	1
554	train	ace	dev	3447	825	michael jackson filed suit against universal music, the parent company of motown records saying he owe him for music he recorded with the jackson five back in the 1970s.	<s>michael jackson</s> filed suit against <t>universal music</t>, the parent company of motown records saying he owe him for music he recorded with the jackson five back in the 1970s.	Plaintiff:michael jackson	Defendant:universal music	suit	{'Defendant': ['universal music'], 'Plaintiff': ['michael jackson']}	Justice:Sue	1
555	train	ace	train	1262	833	jim in new york, i've des piesed martha stewart for years before the imclone scandal, but all this prosecution does is how bias prosecutors are when they deal with moguls who strip the hopes of investors.	jim in new york, i've des piesed <t>martha stewart</t> for years before the imclone scandal, but all this prosecution does is how bias <s>prosecutors</s> are when they deal with moguls who strip the hopes of investors.	Prosecutor:prosecutors	Defendant:martha stewart	prosecution	{'Defendant': ['martha stewart'], 'Prosecutor': ['prosecutors']}	Justice:Trial-Hearing	1
556	train	ace	train	2409	834	The Central Jakarta District Court began Wednesday the trial of Muslim cleric Abu Bakar Ba' asyir who has been in custody since last October on charges of treason and immigration offenses.	<s>The Central Jakarta District Court</s> began Wednesday the trial of <t>Muslim cleric Abu Bakar Ba' asyir who has been in custody since last October on charges of treason and immigration offenses</t>.	Prosecutor:The Central Jakarta District Court	Defendant:Muslim cleric Abu Bakar Ba' asyir who has been in custody since last October on charges of treason and immigration offenses	trial	{'Defendant': ["Muslim cleric Abu Bakar Ba' asyir who has been in custody since last October on charges of treason and immigration offenses"], 'Prosecutor': ['The Central Jakarta District Court'], 'Crime': ['treason']}	Justice:Trial-Hearing	1
557	train	ace	train	660	832	an oklahoma city judge has ruled prosecutors presented enough evidence at a preliminary hearing to try nichols on murder charges for the other 160 victims of the attack.	an oklahoma city judge has ruled <s>prosecutors</s> presented enough evidence at a preliminary hearing to try <t>nichols</t> on murder charges for the other 160 victims of the attack.	Prosecutor:prosecutors	Defendant:nichols	try	{'Defendant': ['nichols'], 'Prosecutor': ['prosecutors'], 'Crime': ['murder']}	Justice:Trial-Hearing	1
560	train	ace	train	663	962	police say a bomber blew herself up outside a northern israel shopping center when she was stopped by a security guard.	police say <s>a bomber</s> blew herself up outside <t>a northern israel shopping center</t> when she was stopped by a security guard.	Agent:a bomber	Place:a northern israel shopping center	blew	{'Agent': ['a bomber'], 'Place': ['a northern israel shopping center']}	Life:Die	1
562	train	ace	train	181	983	Well, if it's true and obviously we don't know just yet but if it's true, it is very significant because it's effectively the Iraqis admitting that many of the civilian casualties that we've seen over the last few days may in fact have been caused by Iraqi surface to air missiles falling back to ground in residential areas.	Well, if it's true and obviously we don't know just yet but if it's true, it is very significant because it's effectively <s>the Iraqis</s> admitting that many of the <t>civilian</t> casualties that we've seen over the last few days may in fact have been caused by Iraqi surface to air missiles falling back to ground in residential areas.	Agent:the Iraqis	Victim:civilian	casualties	{'Instrument': ['Iraqi surface to air missiles'], 'Victim': ['civilian'], 'Agent': ['the Iraqis'], 'Place': ['residential areas']}	Life:Die	1
563	train	ace	train	241	949	Many here though say they are relieved only one person dead, the suicide bomber.	Many here though say they are relieved only <t>one person</t> dead, <s>the suicide bomber</s>.	Agent:the suicide bomber	Victim:one person	dead	{'Agent': ['the suicide bomber'], 'Victim': ['one person']}	Life:Die	1
564	train	ace	train	511	984	Well, the journalists' death raise questions about the tactics of U.S. troops trying to take control of Baghdad.	Well, <t>the journalists</t>' death raise questions about the tactics of <s>U.S. troops trying to take control of Baghdad</s>.	Agent:U.S. troops trying to take control of Baghdad	Victim:the journalists	death	{'Victim': ['the journalists'], 'Agent': ['U.S. troops trying to take control of Baghdad']}	Life:Die	1
566	train	ace	train	1054	951	moving on now, in upstate new york stock exchange criminal charges have been filed in last month's fraternity hazing death at platsberg state university of new york.	moving on now, in <t>upstate new york</t> stock exchange criminal charges have been filed in last month's <s>fraternity</s> hazing death at platsberg state university of new york.	Agent:fraternity	Place:upstate new york	death	{'Agent': ['fraternity'], 'Place': ['upstate new york', 'new york']}	Life:Die	1
570	train	ace	dev	3500	972	The Palestinian leadership said the attack would serve as "a pretext for Israel's government and occupation army to step up its deadly campaign which caused the deaths of 77 Palestinians in February".	The Palestinian leadership said the attack would serve as "a pretext for <s>Israel's government and occupation army</s> to step up its deadly campaign which caused the deaths of <t>77 Palestinians</t> in February".	Agent:Israel's government and occupation army	Victim:77 Palestinians	deaths	{'Agent': ["Israel's government and occupation army", "Israel's government and occupation army"], 'Victim': ['77 Palestinians']}	Life:Die	1
571	train	ace	train	2316	927	Basson was accused of directing South Africa's former apartheid regime's biochemical efforts aimed at destroying its opponents.	Basson was accused of directing <s>South Africa's former apartheid regime</s>'s biochemical efforts aimed at destroying <t>its opponents</t>.	Agent:South Africa's former apartheid regime	Victim:its opponents	destroying	{'Victim': ['its opponents'], 'Agent': ["South Africa's former apartheid regime"]}	Life:Die	1
573	train	ace	train	515	926	At a nearby hotel, two other journalists, a photographer from Reuters and another from Tele 5 Spain died, another case, CENTCOM says, of coalition forces returning fire.	At <t>a nearby hotel</t>, two other journalists, a photographer from Reuters and another from Tele 5 Spain died, another case, CENTCOM says, of <s>coalition forces</s> returning fire.	Agent:coalition forces	Place:a nearby hotel	died	{'Victim': ['two other journalists', 'a photographer from Reuters'], 'Agent': ['coalition forces'], 'Place': ['a nearby hotel']}	Life:Die	1
574	train	ace	train	515	926	At a nearby hotel, two other journalists, a photographer from Reuters and another from Tele 5 Spain died, another case, CENTCOM says, of coalition forces returning fire.	At a nearby hotel, <t>two other journalists</t>, a photographer from Reuters and another from Tele 5 Spain died, another case, CENTCOM says, of <s>coalition forces</s> returning fire.	Agent:coalition forces	Victim:two other journalists	died	{'Victim': ['two other journalists', 'a photographer from Reuters'], 'Agent': ['coalition forces'], 'Place': ['a nearby hotel']}	Life:Die	1
575	train	ace	train	515	926	At a nearby hotel, two other journalists, a photographer from Reuters and another from Tele 5 Spain died, another case, CENTCOM says, of coalition forces returning fire.	At a nearby hotel, two other journalists, <t>a photographer from Reuters</t> and another from Tele 5 Spain died, another case, CENTCOM says, of <s>coalition forces</s> returning fire.	Agent:coalition forces	Victim:a photographer from Reuters	died	{'Victim': ['two other journalists', 'a photographer from Reuters'], 'Agent': ['coalition forces'], 'Place': ['a nearby hotel']}	Life:Die	1
576	train	ace	train	516	917	A Kurdish journalist died in a U.S. friendly-fire accident in the north.	A Kurdish journalist died in a <s>U.S</s>. friendly-fire accident in <t>the north</t>.	Agent:U.S	Place:the north	died	{'Victim': ['A Kurdish journalist'], 'Agent': ['U.S'], 'Place': ['the north']}	Life:Die	1
577	train	ace	train	516	917	A Kurdish journalist died in a U.S. friendly-fire accident in the north.	<t>A Kurdish journalist</t> died in a <s>U.S</s>. friendly-fire accident in the north.	Agent:U.S	Victim:A Kurdish journalist	died	{'Victim': ['A Kurdish journalist'], 'Agent': ['U.S'], 'Place': ['the north']}	Life:Die	1
578	train	ace	train	928	223	this was the italian ship that was taken -- that was captured by palestinian terrorists back in 1985 and some may remember the story of leon clinghover, he was in a cheal chair and the terrorists shot him and pushed him over the side of the ship into the mediterranean where he obviously, died.	this was the italian ship that was taken -- that was captured by palestinian terrorists back in 1985 and some may remember the story of <t>leon clinghover</t>, he was in a cheal chair and <s>the terrorists</s> shot him and pushed him over the side of the ship into the mediterranean where he obviously, died.	Agent:the terrorists	Victim:leon clinghover	died	{'Agent': ['the terrorists'], 'Place': ['the mediterranean where he obviously, died']}	Life:Die	1
579	train	ace	train	1983	957	Pentagon officials said Tuesday they didn't know whether Iraqi President Saddam Hussein died in the U.S. airstrike on a Baghdad neighborhood the day before.	Pentagon officials said Tuesday they didn't know whether Iraqi President Saddam Hussein died in the <s>U.S</s>. airstrike on <t>a Baghdad neighborhood</t> the day before.	Agent:U.S	Place:a Baghdad neighborhood	died	{'Agent': ['U.S'], 'Place': ['a Baghdad neighborhood'], 'Victim': ['Iraqi President Saddam Hussein']}	Life:Die	1
580	train	ace	train	1983	957	Pentagon officials said Tuesday they didn't know whether Iraqi President Saddam Hussein died in the U.S. airstrike on a Baghdad neighborhood the day before.	Pentagon officials said Tuesday they didn't know whether <t>Iraqi President Saddam Hussein</t> died in the <s>U.S</s>. airstrike on a Baghdad neighborhood the day before.	Agent:U.S	Victim:Iraqi President Saddam Hussein	died	{'Agent': ['U.S'], 'Place': ['a Baghdad neighborhood'], 'Victim': ['Iraqi President Saddam Hussein']}	Life:Die	1
582	train	ace	train	1114	974	the slogan makes for a powerful bumper sticker -- guns don't kill people, people do!	the slogan makes for a powerful bumper sticker -- guns don't kill <t>people</t>, <s>people</s> do!	Agent:people	Victim:people	do	{'Agent': ['people'], 'Victim': ['people']}	Life:Die	1
588	train	ace	train	2493	937	I don't doubt that this method has been used to remove various thorns over the years, but why on earth would Israel have wanted to get rid of the Shah?	I don't doubt that this method has been used to remove various thorns over the years, but why on earth would <s>Israel</s> have wanted to get rid of <t>the Shah</t>?	Agent:Israel	Victim:the Shah	get rid		Life:Die	1
