	sentence_id	sentence	marked_sentence	source	target	gold_penta	silver_penta	silver_root	gold_root	penta_L1	root_L1	penta_L2	root_L2	prompt_L2	prompt_L1	modality_L2
	792	Egyptian authorities agreed to open its borders to Somali refugees.	<s>Egyptian authorities</s> agreed to open its borders to <t>Somali refugees</t>.	Egyptian authorities	Somali refugees	1	1	AGREE	AGREE	2	YIELD	1	AGREE	['<S> allowed entry of <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> eased restrictions on <T>', '<S> surrendered to <T>']	['<S> allowed entry of <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> eased restrictions on <T>', '<S> surrendered to <T>']	todo
	797	The Revolutionary Armed Forces of Colombia said they will hand over the last 40 percent of their arms to the United Nations by June 20, following through with a peace deal signed last year with the government.	<s>The Revolutionary Armed Forces of Colombia</s> said they will hand over the last 40 percent of their arms to <t>the United Nations</t> by June 20, following through with a peace deal signed last year with the government.	The Revolutionary Armed Forces of Colombia	the United Nations	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> surrendered to <T>', '<S> promised to do something for <T>', '<S> agreed to do something for <T>', '<S> signed an agreement with <T>', '<S> cooperated with <T>']	['<S> promised to do something for <T>', '<S> agreed to do something for <T>', '<S> surrendered to <T>', '<S> cooperated with <T>', '<S> signed an agreement with <T>']	todo
	802	The Libyan National Army (LNA) agreed on 18 September to lift a blockade on oil exports and production which it had imposed in January.	<s>The Libyan National Army (LNA) </s>agreed on 18 September to lift a blockade on oil exports and production which it had imposed in January.	The Libyan National Army (LNA)	a recipient	1	1	AGREE	AGREE	2	YIELD	1	AGREE	['<S> eased restrictions on <T>', '<S> cooperated with <T>']	['<S> eased restrictions on <T>', '<S> cooperated with <T>']	todo
	822	Frances Fitzgerald agreed to resign leaving the Ireland's cabinet on Tuesday.	<s>Frances Fitzgerald</s> agreed to resign leaving <t>the Ireland's cabinet</t> on Tuesday.	Frances Fitzgerald	the Ireland's cabinet	1	1	AGREE	AGREE	2	YIELD	1	AGREE	['<S> resigned from the position in <T>', '<S> released person of <T>']	['<S> resigned from the position in <T>', '<S> released person of <T>']	todo
	823	US was willing to withdraw its troops as soon as a UN international force had been sent to Lebanon.	<s>US</s> was willing to withdraw its troops as soon as a UN international force had been sent to <t>Lebanon</t>.	US	Lebanon	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> threatened something against <T>', '<S> promised to do something for <T>']	['<S> agreed to do something for <T>', '<S> threatened something against <T>', '<S> promised to do something for <T>']	past
	826	North Korea has agreed to re-open its borders for South Koreans to inspect their industrial estate in Kaesong.	<s>North Korea</s> has agreed to re-open its borders for <t>South Koreans</t> to inspect their industrial estate in Kaesong.	North Korea	South Koreans	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> allowed entry of <T>', '<S> promised to do something for <T>', '<S> signed an agreement with <T>', '<S> cooperated with <T>']	['<S> agreed to do something for <T>', '<S> allowed entry of <T>', '<S> promised to do something for <T>', '<S> signed an agreement with <T>', '<S> cooperated with <T>']	past
	828	On May 29, the Syrian regime said it would recognize South Ossetia's unilateral independence from Georgia.	On May 29, <s>the Syrian regime</s> said it would recognize <t>South Ossetia</t>'s unilateral independence from Georgia.	the Syrian regime	South Ossetia	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> expressed support for <T>']	['<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> expressed support for <T>']	past
	831	The Catalan government has agreed today to set up the new José Carreras Research Institute against Leukaemia in Barcelona.	<s>The Catalan government</s> has agreed today to set up the new José Carreras Research Institute against Leukaemia in <t>Barcelona</t>.	The Catalan government	Barcelona	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> signed an agreement with <T>', '<S> promised to do something for <T>']	['<S> agreed to do something for <T>', '<S> signed an agreement with <T>', '<S> promised to do something for <T>']	past
	835	Mexico's top diplomat will visit the immigrant-friendly California amid strained relations between his country and the U.S.	<s>Mexico's top diplomat</s> will visit <t>the immigrant-friendly California</t> amid strained relations between his country and the U.S.	Mexico's top diplomat	the immigrant-friendly California	1	1	AGREE	AGREE	1	CONSULT	1	AGREE	['<S> met with <T>', '<S> agreed to do something for <T>', '<S> investigated something of <T>']	['<S> met with <T>', '<S> agreed to do something for <T>', '<S> investigated something of <T>']	todo
	864	Germany is willing to provide support to Palestinian refugees to avoid increased suffering.	<s>Germany</s> is willing to provide support to <t>Palestinian refugees</t> to avoid increased suffering.	Germany	Palestinian refugees	1	1	AGREE	AGREE	1	SUPPORT	1	SUPPORT	['<S> expressed support for <T>', '<S> agreed to do something for <T>', '<S> cooperated with <T>', '<S> promised to do something for <T>', '<S> added aid to <T>']	['<S> expressed support for <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> cooperated with <T>', '<S> added aid to <T>']	past
	884	The Prime Minister said Ethiopian government is committed to opening up the economy to international investors in telecom, logistics, energy, aviation, railways, and industrial parks.	<s>The Prime Minister</s> said <t>Ethiopian government</t> is committed to opening up the economy to international investors in telecom, logistics, energy, aviation, railways, and industrial parks.	The Prime Minister	Ethiopian government	1	1	AGREE	AGREE	2	COOPERATE	2	COOPERATE	['<S> shared information with <T>', '<S> released person of <T>', '<S> investigated something of <T>']	['<S> shared information with <T>', '<S> released person of <T>', '<S> investigated something of <T>']	past
	893	Israeli Prime Minister Benjamin Netanyahu's strongest election rival, former army general Benny Gantz, said on Tuesday he would seek peace with the Palestinians but stopped short of endorsing their goal for statehood.	<s>Israeli Prime Minister Benjamin Netanyahu's strongest election rival, former army general Benny Gantz</s>, said on Tuesday he would seek peace with <t>the Palestinians</t> but stopped short of endorsing their goal for statehood.	Israeli Prime Minister Benjamin Netanyahu's strongest election rival, former army general Benny Gantz	the Palestinians	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> promised to do something for <T>', '<S> expressed support for <T>', '<S> agreed to do something for <T>']	['<S> promised to do something for <T>', '<S> expressed support for <T>', '<S> agreed to do something for <T>']	past
	897	Japan's government has pledged to work with China on third country projects and has promoted cooperation between the BRI and other regional investment institutions, such as the Asian Development Bank.	<s>Japan's government</s> has pledged to work with <t>China</t> on third country projects and has promoted cooperation between the BRI and other regional investment institutions, such as the Asian Development Bank.	Japan's government	China	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> cooperated with <T>', '<S> promised to do something for <T>', '<S> agreed to do something for <T>', '<S> expressed support for <T>', '<S> signed an agreement with <T>']	['<S> promised to do something for <T>', '<S> agreed to do something for <T>', '<S> cooperated with <T>', '<S> signed an agreement with <T>', '<S> expressed support for <T>']	todo
	912	The Tokyo Stock Exchange and the New York Stock Exchange have agreed to share information on market transactions to ensure fairness and transparency in both markets.	<s>The Tokyo Stock Exchange</s> and <t>the New York Stock Exchange</t> have agreed to share information on market transactions to ensure fairness and transparency in both markets.	The Tokyo Stock Exchange	the New York Stock Exchange	1	1	AGREE	AGREE	2	COOPERATE	1	AGREE	['<S> shared information with <T>', '<S> signed an agreement with <T>', '<S> cooperated with <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>']	['<S> shared information with <T>', '<S> signed an agreement with <T>', '<S> agreed to do something for <T>', '<S> cooperated with <T>', '<S> promised to do something for <T>']	todo
	915	The Michigan Department of Environmental Quality says it will provide a $202,000 grant and a $433,000 loan to the Wyoming Brownfield Redevelopment Authority to fix up the site.	<s>The Michigan Department of Environmental Quality</s> says it will provide a $202,000 grant and a $433,000 loan to <t>the Wyoming Brownfield Redevelopment Authority</t> to fix up the site.	The Michigan Department of Environmental Quality	the Wyoming Brownfield Redevelopment Authority	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> promised to do something for <T>', '<S> agreed to do something for <T>', '<S> added money to <T>', '<S> added aid to <T>']	['<S> promised to do something for <T>', '<S> agreed to do something for <T>', '<S> added money to <T>', '<S> added aid to <T>']	past
	916	Senate President, Bukola Saraki, will on Tuesday, June 19, lead a Senate delegation on a three-day parliamentary visit to Russia.	<s>Senate President, Bukola Saraki</s>, will on Tuesday, June 19, lead a Senate delegation on a three-day parliamentary visit to <t>Russia</t>.	Senate President, Bukola Saraki	Russia	1	1	AGREE	AGREE	1	CONSULT	1	AGREE	['<S> met with <T>', '<S> agreed to do something for <T>']	['<S> met with <T>', '<S> agreed to do something for <T>']	todo
	946	The EU would step up its peace efforts and would hold talks with the Palestinian president, Mahmoud Abbas, next month.	<s>The EU</s> would step up its peace efforts and would hold talks with <t>the Palestinian president, Mahmoud Abbas</t>, next month.	The EU	the Palestinian president, Mahmoud Abbas	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> undertook more negotiation with <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>']	['<S> agreed to do something for <T>', '<S> undertook more negotiation with <T>', '<S> promised to do something for <T>']	todo
	951	Israel was willing to withdraw its troops from the West Bank cities if the PA assumed strong control of the areas.	<s>Israel</s> was willing to withdraw its troops from <t>the West Bank cities</t> if the PA assumed strong control of the areas.	Israel	the West Bank cities	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> threatened something against <T>']	['<S> agreed to do something for <T>', '<S> threatened something against <T>']	past
	960	Colombia is ready to contribute troops to the NATO-led security force in Afghanistan, the Andean nation's defense minister said here.	<s>Colombia</s> is ready to contribute troops to the NATO-led security force in <t>Afghanistan</t>, the Andean nation's defense minister said here.	Colombia	Afghanistan	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> promised to do something for <T>']	['<S> agreed to do something for <T>', '<S> promised to do something for <T>']	past
	983	The US is willing to provide ammunition alongside humanitarian assistance to Turkey in Syria's war-torn Idlib region.	<s>The US</s> is willing to provide ammunition alongside humanitarian assistance to <t>Turkey</t> in Syria's war-torn Idlib region.	The US	Turkey	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> added aid to <T>', '<S> promised to do something for <T>', '<S> cooperated with <T>']	['<S> agreed to do something for <T>', '<S> added aid to <T>', '<S> promised to do something for <T>', '<S> cooperated with <T>']	past
	993	Australia is willing to withdraw its troops from Iraq if it was asked to do so by the upcoming interim Iraqi government.	<s>Australia</s> is willing to withdraw its troops from <t>Iraq</t> if it was asked to do so by the upcoming interim Iraqi government.	Australia	Iraq	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>']	['<S> agreed to do something for <T>']	past
	1011	Uzbekistan agreed to open its borders for aid trucks to enter Afghanistan.	<s>Uzbekistan</s> agreed to open its borders for aid trucks to enter <t>Afghanistan</t>.	Uzbekistan	Afghanistan	1	1	AGREE	AGREE	2	YIELD	2	YIELD	['<S> allowed entry of <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> eased restrictions on <T>']	['<S> allowed entry of <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> eased restrictions on <T>', '<S> added aid to <T>']	past
	1022	The Government of India has agreed to set up National Centre of Excellence for Animation, Gaming, Visual Effects and Comics industry in Mumbai.	<s>The Government of India</s> has agreed to set up National Centre of Excellence for Animation, Gaming, Visual Effects and Comics industry in <t>Mumbai</t>.	The Government of India	Mumbai	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> signed an agreement with <T>']	['<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> signed an agreement with <T>']	past
	1023	Government minister says Nepal's prime minister has agreed to resign.	Government minister says <s>Nepal's prime minister</s> has agreed to resign.	Nepal's prime minister	a recipient	1	1	AGREE	AGREE	2	YIELD	2	YIELD	['<S> released person of <T>', '<S> surrendered to <T>', '<S> cooperated with <T>']	['<S> released person of <T>', '<S> surrendered to <T>', '<S> cooperated with <T>']	past
	1030	Taliban leaders said the fighters will lay down their arms in Mazar-i-Sharif on Sunday.	<s>Taliban leaders</s> said the fighters will lay down their arms in <t>Mazar-i-Sharif</t> on Sunday.	Taliban leaders	Mazar-i-Sharif	1	1	AGREE	AGREE	2	YIELD	1	AGREE	['<S> surrendered to <T>', '<S> declared a ceasefire with <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>']	['<S> declared a ceasefire with <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> surrendered to <T>']	todo
	1031	The NATO alliance has agreed to a expansion of its peacekeeping force in Afghanistan beyond the capital, Kabul.	<s>The NATO alliance</s> has agreed to a expansion of its peacekeeping force in <t>Afghanistan</t> beyond the capital, Kabul.	The NATO alliance	Afghanistan	1	1	AGREE	AGREE	2	AID	1	AGREE	['<S> increased peace forces in <T>', '<S> agreed to do something for <T>', '<S> signed an agreement with <T>', '<S> promised to do something for <T>']	['<S> increased peace forces in <T>', '<S> increased forces in <T>', '<S> agreed to do something for <T>', '<S> signed an agreement with <T>', '<S> promised to do something for <T>']	todo
	1035	The German government has agreed to set up a new transport infrastructure company in Berlin to plan and administer federal motorways.	<s>The German government</s> has agreed to set up a new transport infrastructure company in <t>Berlin</t> to plan and administer federal motorways.	The German government	Berlin	1	1	AGREE	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> signed an agreement with <T>', '<S> cooperated with <T>']	['<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> signed an agreement with <T>', '<S> cooperated with <T>']	past
	627	The United States is willing to provide our military expertise to the United Nations to help the U.N. strengthen its planning and operations for peacekeeping.	<s>The United States</s> is willing to provide our military expertise to <t>the United Nations</t> to help the U.N. strengthen its planning and operations for peacekeeping.	The United States	the United Nations	1	2	AID	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> expressed support for <T>', '<S> added aid to <T>', '<S> cooperated with <T>']	['<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> cooperated with <T>', '<S> expressed support for <T>', '<S> added aid to <T>']	past
	775	During the one-day visit, Obama will hold talks with President Uhuru Kenyatta at State House, Nairobi, before heading to his ancestral home of Kogelo, Siaya, to visit his relatives.	During the one-day visit, <s>Obama</s> will hold talks with <t>President Uhuru Kenyatta</t> at State House, Nairobi, before heading to his ancestral home of Kogelo, Siaya, to visit his relatives.	Obama	President Uhuru Kenyatta	1	1	CONSULT	AGREE	1	CONSULT	1	CONSULT	['<S> met with <T>', '<S> held a talk with <T>']	['<S> met with <T>', '<S> held a talk with <T>']	past
	1021	The Indian Prime Minister will be hosting a private dinner for Netanyahu on 14 January after his arrival in New Delhi.	<s>The Indian Prime Minister</s> will be hosting a private dinner for <t>Netanyahu</t> on 14 January after his arrival in New Delhi.	The Indian Prime Minister	Netanyahu	1	1	CONSULT	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> allowed entry of <T>', '<S> met with <T>', '<S> deported person of <T>', '<S> detained person of <T>']	['<S> agreed to do something for <T>', '<S> allowed entry of <T>', '<S> met with <T>', '<S> deported person of <T>', '<S> detained person of <T>']	past
	278	United States must continue military aid to Egypt in order to ensure access to the Suez Canal and Egyptian airspace.	<s>United States</s> must continue military aid to <t>Egypt</t> in order to ensure access to the Suez Canal and Egyptian airspace.	United States	Egypt	1	3	REQUEST	AGREE	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> cooperated with <T>']	['<S> agreed to do something for <T>', '<S> cooperated with <T>']	past
	1012	In an address to Turkey's Parliament on Wednesday, Erdogan said that Turkey's military offensive would end if Syrian Kurdish fighters left a border area in northeast Syria, according to the country's official Anadolu news agency.	In an address to Turkey's Parliament on Wednesday, Erdogan said that <s>Turkey</s>'s military offensive would end if Syrian Kurdish fighters left a border area in northeast <t>Syria</t>, according to the country's official Anadolu news agency.	Turkey	Syria	1	3	THREATEN	AGREE	3	THREATEN	3	THREATEN	['<S> threatened something against <T>', '<S> launched military strikes against <T>']	['<S> threatened something against <T>', '<S> launched military strikes against <T>']	past
	945	In 2018, the U.S. court awarded the Warmbiers US$501.14 million from the North Korean regime.	In 2018, <s>the U.S. court</s> awarded <t>the Warmbiers</t> US$501.14 million from the North Korean regime.	the U.S. court	the Warmbiers	2	3	ACCUSE	AID	1	AGREE	1	AGREE	['<S> agreed to do something for <T>']	['<S> agreed to do something for <T>']	past
	905	Malloy says Syrian Refugees granted asylum are welcome in Connecticut.	<s>Malloy</s> says <t>Syrian Refugees</t> granted asylum are welcome in Connecticut.	Malloy	Syrian Refugees	1	1	AGREE	AGREE	2	YIELD	2	YIELD	['<S> allowed entry of <T>', '<S> expressed support for <T>', '<S> granted asylum to <T>', '<S> provided rights to <T>']	['<S> allowed entry of <T>', '<S> expressed support for <T>', '<S> granted asylum to <T>', '<S> provided rights to <T>']	past
	10	Germany has been the second-largest donor, contributing $46 million in 2017 to the Iraq Humanitarian Fund, a pooled fund managed by the UN's Office for the Coordination of Humanitarian Affairs.	<s>Germany</s> has been the second-largest donor, contributing $46 million in 2017 to <t>the Iraq Humanitarian Fund</t>, a pooled fund managed by the UN's Office for the Coordination of Humanitarian Affairs.	Germany	the Iraq Humanitarian Fund	2	2	AID	AID	2	AID	2	AID	['<S> added money to <T>', '<S> added aid to <T>']	['<S> added money to <T>', '<S> added aid to <T>']	past
	25	Ecuador has granted political asylum to Julian Assange.	<s>Ecuador</s> has granted political asylum to <t>Julian Assange</t>.	Ecuador	Julian Assange	2	2	AID	AID	2	AID	2	AID	['<S> granted asylum to <T>', '<S> provided rights to <T>', '<S> agreed to do something for <T>']	['<S> granted asylum to <T>', '<S> provided rights to <T>', '<S> agreed to do something for <T>']	past
	49	At least 20,000 donations totaling $670,000 had come to Navajo bation from Ireland by Wednesday morning, a GoFundMe representative told the Navajo and Hopi organizers.	At least 20,000 donations totaling $670,000 had come to <t>Navajo</t> bation from <s>Ireland</s> by Wednesday morning, a GoFundMe representative told the <t>Navajo</t> and Hopi organizers.	Ireland	Navajo	2	2	AID	AID	2	AID	2	AID	['<S> added money to <T>', '<S> added aid to <T>']	['<S> added money to <T>', '<S> added aid to <T>']	past
	112	In terms of asylum, Lithuania first opened its borders to refugees in 1997.	In terms of asylum, <s>Lithuania</s> first opened its borders to <t>refugees</t> in 1997.	Lithuania	refugees	2	2	AID	AID	2	YIELD	2	YIELD	['<S> allowed entry of <T>', '<S> granted asylum to <T>', '<S> provided rights to <T>', '<S> eased restrictions on <T>', '<S> agreed to do something for <T>']	['<S> allowed entry of <T>', '<S> granted asylum to <T>', '<S> provided rights to <T>', '<S> eased restrictions on <T>', '<S> agreed to do something for <T>']	past
	122	Germany gave 352.5 million euros to promote private investment and sustainable economic development in Ethiopia.	<s>Germany</s> gave 352.5 million euros to promote private investment and sustainable economic development in <t>Ethiopia</t>.	Germany	Ethiopia	2	2	AID	AID	2	AID	2	AID	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> cooperated with <T>']	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>', '<S> promised to do something for <T>', '<S> cooperated with <T>']	past
	128	Germany, Russia, Switzerland, Sweden, Norway, Finland and Denmark have already provided their complete annual donations to Palestinians.	<s>Germany, Russia, Switzerland, Sweden, Norway, Finland and Denmark</s> have already provided their complete annual donations to <t>Palestinians</t>.	Germany, Russia, Switzerland, Sweden, Norway, Finland and Denmark	Palestinians	2	2	AID	AID	2	AID	2	AID	['<S> added money to <T>', '<S> added aid to <T>', '<S> expressed support for <T>']	['<S> added money to <T>', '<S> expressed support for <T>', '<S> added aid to <T>']	past
	194	The World Health Organization (WHO) is providing urgent assistance to meet the health needs of thousands of people impacted by flooding in Malawi, Mozambique and Zimbabwe.	<s>The World Health Organization (WHO) </s>is providing urgent assistance to meet the health needs of thousands of <t>people impacted by flooding in Malawi, Mozambique and Zimbabwe</t>.	The World Health Organization (WHO)	people impacted by flooding in Malawi, Mozambique and Zimbabwe	2	2	AID	AID	2	AID	2	AID	['<S> added aid to <T>', '<S> cooperated with <T>', '<S> agreed to do something for <T>', '<S> expressed support for <T>', '<S> promised to do something for <T>']	['<S> added aid to <T>', '<S> cooperated with <T>', '<S> agreed to do something for <T>', '<S> expressed support for <T>', '<S> promised to do something for <T>']	past
	202	The Federal Foreign Office has provided €28 million this year to pay for humanitarian aid for those affected in Yemen.	<s>The Federal Foreign Office</s> has provided €28 million this year to pay for humanitarian aid for those affected in <t>Yemen</t>.	The Federal Foreign Office	Yemen	2	2	AID	AID	2	AID	2	AID	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>']	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>']	past
	209	Turkey's parliament on Thursday approved troop deployments in Libya with an eye to Ankara's power projection in the eastern Mediterranean.	<s>Turkey's parliament</s> on Thursday approved troop deployments in <t>Libya</t> with an eye to Ankara's power projection in the eastern Mediterranean.	Turkey's parliament	Libya	2	2	AID	AID	1	AGREE	3	THREATEN	['<S> increased forces in <T>', '<S> agreed to do something for <T>']	['<S> agreed to do something for <T>', '<S> increased forces in <T>']	todo
	252	Kosovo is sending a military platoon to Kuwait, its first ever involvement in an international peacekeeping mission.	<s>Kosovo</s> is sending a military platoon to <t>Kuwait</t>, its first ever involvement in an international peacekeeping mission.	Kosovo	Kuwait	2	2	AID	AID	1	AGREE	1	AGREE	['<S> agreed to do something for <T>', '<S> increased peace forces in <T>']	['<S> agreed to do something for <T>', '<S> increased forces in <T>', '<S> increased peace forces in <T>']	past
	264	Australia lended $1 billion to Indonesia to aid the country's COVID-19 recovery, the latest in a line of measures designed to bolster Canberra's relationships with its Southeast Asian and Pacific neighbors.	<s>Australia</s> lended $1 billion to <t>Indonesia</t> to aid the country's COVID-19 recovery, the latest in a line of measures designed to bolster Canberra's relationships with its Southeast Asian and Pacific neighbors.	Australia	Indonesia	2	2	AID	AID	2	AID	2	AID	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>', '<S> cooperated with <T>', '<S> promised to do something for <T>']	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>', '<S> cooperated with <T>', '<S> promised to do something for <T>']	past
	270	U.S. military gives medical equipment to Nicaragua.	<s>U.S. military</s> gives medical equipment to <t>Nicaragua</t>.	U.S. military	Nicaragua	2	2	AID	AID	2	AID	2	AID	['<S> added aid to <T>', '<S> agreed to do something for <T>']	['<S> added aid to <T>', '<S> agreed to do something for <T>']	past
	282	Nigeria on Saturday announced the deployment of 230 troops, including 19 officers, to Liberia on a peacekeeping mission.	<s>Nigeria</s> on Saturday announced the deployment of 230 troops, including 19 officers, to <t>Liberia</t> on a peacekeeping mission.	Nigeria	Liberia	2	2	AID	AID	4	MOBILIZE	2	AID	['<S> increased peace forces in <T>', '<S> agreed to do something for <T>']	['<S> increased forces in <T>', '<S> increased peace forces in <T>', '<S> agreed to do something for <T>']	past
	295	He said that on Oct. 14, the Israeli government approved a plan to build a complete settlement neighborhood, including 31 settlement units in the Old City in Hebron.	He said that on Oct. 14, <s>the Israeli government</s> approved a plan to build a complete settlement neighborhood, including 31 settlement units in <t>the Old City in Hebron</t>.	the Israeli government	the Old City in Hebron	2	2	AID	AID	1	AGREE	1	AGREE	['<S> agreed to do something for <T>']	['<S> agreed to do something for <T>']	past
	308	The United States remains the largest single donor of humanitarian assistance in Iraq.	<s>The United States</s> remains the largest single donor of humanitarian assistance in <t>Iraq</t>.	The United States	Iraq	2	2	AID	AID	2	AID	2	AID	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>']	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>']	past
	328	The Israeli NGO Israel Flying Aid has been providing humanitarian aid to Syrians for years through a full undercover unit of all native Arabic speakers.	<s>The Israeli NGO Israel Flying Aid</s> has been providing humanitarian aid to <t>Syrians</t> for years through a full undercover unit of all native Arabic speakers.	The Israeli NGO Israel Flying Aid	Syrians	2	2	AID	AID	2	AID	2	AID	['<S> added aid to <T>', '<S> cooperated with <T>', '<S> agreed to do something for <T>', '<S> met with <T>']	['<S> added aid to <T>', '<S> cooperated with <T>', '<S> agreed to do something for <T>', '<S> met with <T>']	past
	333	The United States accepted 1,141 Iraqi refugees in May, the most the U.S. has taken in one month, and officials say they're on track to meet this fiscal year's goal of 12,000.	<s>The United States</s> accepted <t>1,141 Iraqi refugees</t> in May, the most the U.S. has taken in one month, and officials say they're on track to meet this fiscal year's goal of 12,000.	The United States	1,141 Iraqi refugees	2	2	AID	AID	2	YIELD	2	YIELD	['<S> allowed entry of <T>', '<S> accepted demands of <T>', '<S> surrendered to <T>', '<S> met with <T>', '<S> provided rights to <T>']	['<S> allowed entry of <T>', '<S> accepted demands of <T>', '<S> surrendered to <T>', '<S> met with <T>', '<S> provided rights to <T>']	past
	348	EU provides €45m support for agri-businesses in Nigeria and other African countries.	<s>EU</s> provides €45m support for agri-businesses in <t>Nigeria and other African countries</t>.	EU	Nigeria and other African countries	2	2	AID	AID	1	SUPPORT	1	SUPPORT	['<S> expressed support for <T>', '<S> added money to <T>', '<S> agreed to do something for <T>', '<S> added aid to <T>', '<S> cooperated with <T>']	['<S> expressed support for <T>', '<S> added money to <T>', '<S> agreed to do something for <T>', '<S> added aid to <T>', '<S> cooperated with <T>']	past
	355	The Chinese government's assistance package consisted of $22.5 million in relief supplies aimed at ameliorating food shortages in Yemen and combating the country's burgeoning cholera epidemic.	<s>The Chinese government</s>'s assistance package consisted of $22.5 million in relief supplies aimed at ameliorating food shortages in <t>Yemen</t> and combating the country's burgeoning cholera epidemic.	The Chinese government	Yemen	2	2	AID	AID	2	AID	2	AID	['<S> added aid to <T>', '<S> added money to <T>', '<S> promised to do something for <T>', '<S> agreed to do something for <T>', '<S> cooperated with <T>']	['<S> added aid to <T>', '<S> added money to <T>', '<S> promised to do something for <T>', '<S> agreed to do something for <T>', '<S> cooperated with <T>']	past
	360	The United States is the leading international donor to Sudan, providing more than $5 billion in assistance to Sudan since 2005, including $3.7 billion in humanitarian and peacekeeping assistance to Darfur.	<s>The United States</s> is the leading international donor to <t>Sudan</t>, providing more than $5 billion in assistance to <t>Sudan</t> since 2005, including $3.7 billion in humanitarian and peacekeeping assistance to Darfur.	The United States	Sudan	2	2	AID	AID	2	AID	2	AID	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>']	['<S> added money to <T>', '<S> added aid to <T>', '<S> agreed to do something for <T>']	past
	415	The U.S. government had consistently supported economic assistance to the Palestinians.	<s>The U.S. government</s> had consistently supported economic assistance to <t>the Palestinians</t>.	The U.S. government	the Palestinians	2	2	AID	AID	1	SUPPORT	1	SUPPORT	['<S> expressed support for <T>', '<S> agreed to do something for <T>', '<S> added aid to <T>', '<S> cooperated with <T>', '<S> added money to <T>']	['<S> expressed support for <T>', '<S> agreed to do something for <T>', '<S> added aid to <T>', '<S> cooperated with <T>', '<S> added money to <T>']	past
